time_ms,packet_delay_ms,normalized_delta_phi,is_replay,detected_by_threshold
53300,1.917566,0.034500,0,0
53400,8.287708,0.026922,0,0
53500,6.215398,0.019322,0,0
53600,2.421023,0.011830,0,0
53700,0.335031,0.004330,0,0
53800,3.291971,0.003190,0,0
53900,4.676866,0.010646,0,0
54000,7.966980,0.018107,0,0
54100,1.419029,0.025594,0,0
54200,5.838343,0.033009,0,0
54300,5.070440,0.040444,0,0
54400,5.585251,0.047838,0,0
54500,6.617623,0.055326,0,0
54600,3.192580,0.062807,0,0
54700,4.996008,0.070241,0,0
54800,2.633518,0.077611,0,0
54900,3.660116,0.084997,0,0
55000,8.096446,0.092375,0,0
55100,2.840026,0.099718,0,0
55200,4.693945,0.106989,0,0
55300,8.860169,0.114294,0,0
55400,7.362592,0.121542,0,0
55500,1.197452,0.128781,0,0
55600,4.287787,0.135906,0,0
55700,2.013143,0.143056,0,0
55800,8.713896,0.150073,0,0
55900,2.821156,0.157050,0,0
56000,6.787050,0.164058,0,0
56100,3.257838,0.170999,0,0
56200,6.342269,0.177880,0,0
56300,0.335306,0.184574,0,0
56400,3.891942,0.191214,0,0
56500,6.049051,0.197821,0,0
56600,5.742868,0.204343,0,0
56700,6.540942,0.210813,0,0
56800,1.062759,0.217204,0,0
56900,2.794287,0.223520,0,0
57000,4.963421,0.229865,0,0
57100,0.961597,0.236093,0,0
57200,3.771465,0.242276,0,0
57300,4.097086,0.248439,0,0
57400,3.704441,0.254490,0,0
57500,3.233089,0.260466,0,0
57600,6.260184,0.266373,0,0
57700,4.812968,0.272245,0,0
57800,2.097166,0.278012,0,0
57900,4.067684,0.283678,0,0
58000,3.332866,0.289320,0,0
58100,1.604233,0.294773,0,0
58200,5.868817,0.300115,0,0
58300,0.614984,0.305410,0,0
58400,3.673872,0.310587,0,0
58500,5.965518,0.315717,0,0
58600,7.050208,0.320726,0,0
58700,0.601629,0.325778,0,0
58800,1.284602,0.330682,0,0
58900,5.621079,0.335524,0,0
59000,3.555839,0.340241,0,0
59100,5.912679,0.344868,0,0
59200,3.585678,0.349352,0,0
59300,5.357916,0.353797,0,0
59400,4.665661,0.358096,0,0
59500,0.274208,0.362287,0,0
59600,3.337714,0.366427,0,0
59700,1.113167,0.370507,0,0
59800,5.486568,0.374463,0,0
59900,0.328704,0.378257,0,0
60000,6.412676,0.382027,0,0
0,7.171503,0.031833,0,0
100,8.841079,0.031810,0,0
200,2.480770,0.031743,0,0
300,2.091007,0.031686,0,0
400,2.895608,0.031577,0,0
500,0.688075,0.031503,0,0
600,3.455296,0.031334,0,0
700,4.281041,0.031227,0,0
800,1.385972,0.031129,0,0
900,4.592164,0.031024,0,0
1000,3.856288,0.030908,0,0
1100,7.117269,0.030749,0,0
1200,6.551806,0.030628,0,0
1300,1.569906,0.030467,0,0
1400,2.939086,0.030268,0,0
1500,5.879142,0.030052,0,0
1600,6.760732,0.029799,0,0
1700,7.694822,0.029574,0,0
